09025,10,"ΔΡΑΜΑΣ ΚΕΦΑΛΑΡΙΟΥ"
45130,423,"ΤΡΙΚΑΛΩΝ ΤΡΙΚΚΑΙΩΝ"
21005,15,"ΚΑΒΑΛΑΣ ΑΚΡΟΠΟΤΑΜΟΥ"
39030,21,"ΠΙΕΡΙΑΣ ΜΑΚΡΥΓΙΑΛΟΥ"
31013,49,"ΛΑΡΙΣΑΣ ΑΜΠΕΛΩΝΟΣ"
47022,6,"ΦΛΩΡΙΝΑΣ ΒΑΛΤΟΝΕΡΩΝ"
06167,1303,"ΑΧΑΙΑΣ ΠΑΤΡΕΩΝ"
05103,37,"ΑΤΤΙΚΗΣ ΝΕΑΣ ΠΕΡΑΜΟΥ"
23040,15,"ΚΑΣΤΟΡΙΑΣ ΜΑΥΡΟΧΩΡΙΟΥ"
19125,123,"ΘΕΣΣΑΛΟΝΙΚΗΣ ΩΡΑΙΟΚΑΣΤΡΟΥ"
01021,34,"ΑΙΤΩΛΙΑΣ ΚΑΙ ΑΚΑΡΝΑΝΙΑΣ ΑΙΤΩΛΙΚΟΥ"
05104,831,"ΑΤΤΙΚΗΣ ΝΕΑΣ ΣΜΥΡΝΗΣ"
21050,6,"ΚΑΒΑΛΑΣ ΠΑΛΑΙΑΣ ΚΑΒΑΛΑΣ"
41111,334,"ΡΕΘΥΜΝΗΣ ΡΕΘΥΜΝΗΣ"
41028,12,"ΡΕΘΥΜΝΗΣ ΑΡΜΕΝΩΝ"
41026,11,"ΡΕΘΥΜΝΗΣ ΑΡΓΥΡΟΥΠΟΛΕΩΣ"
20139,34,"ΙΩΑΝΝΙΝΩΝ ΚΑΤΣΙΚΑ"
50134,24,"ΧΑΝΙΩΝ ΣΟΥΔΑΣ"
29042,28,"ΚΥΚΛΑΔΩΝ ΕΜΠΟΡΕΙΟΥ"
29085,117,"ΚΥΚΛΑΔΩΝ ΜΥΚΟΝΙΩΝ"
19073,3,"ΘΕΣΣΑΛΟΝΙΚΗΣ ΜΟΔΙΟΥ"
35014,27,"ΜΑΓΝΗΣΙΑΣ ΑΛΟΝΝΗΣΟΥ"
05054,403,"ΑΤΤΙΚΗΣ ΗΛΙΟΥΠΟΛΕΩΣ"
19117,76,"ΘΕΣΣΑΛΟΝΙΚΗΣ ΤΡΙΑΝΔΡΙΑΣ"
05048,58,"ΑΤΤΙΚΗΣ ΕΚΑΛΗΣ"
05087,53,"ΑΤΤΙΚΗΣ ΜΑΡΑΘΩΝΟΣ"
05041,1144,"ΑΤΤΙΚΗΣ ΓΛΥΦΑΔΑΣ"
05121,296,"ΑΤΤΙΚΗΣ ΠΕΤΡΟΥΠΟΛΕΩΣ"
05028,474,"ΑΤΤΙΚΗΣ ΑΧΑΡΝΩΝ"
05020,124,"ΑΤΤΙΚΗΣ ΑΝΩ ΛΙΟΣΙΩΝ"
45081,5,"ΤΡΙΚΑΛΩΝ ΜΕΓΑΛΩΝ ΚΑΛΥΒΙΩΝ"
45103,4,"ΤΡΙΚΑΛΩΝ ΠΑΤΟΥΛΙΑΣ"
05105,160,"ΑΤΤΙΚΗΣ ΝΕΑΣ ΦΙΛΑΔΕΛΦΕΙΑΣ"
40061,52,"ΠΡΕΒΕΖΑΣ ΦΙΛΙΠΠΙΑΔΟΣ"
34037,46,"ΛΕΥΚΑΔΑΣ ΤΣΟΥΚΑΛΑΔΩΝ"
34019,7,"ΛΕΥΚΑΔΑΣ ΚΑΡΙΩΤΩΝ"
19047,705,"ΘΕΣΣΑΛΟΝΙΚΗΣ ΚΑΛΑΜΑΡΙΑΣ"
19094,219,"ΘΕΣΣΑΛΟΝΙΚΗΣ ΠΕΡΑΙΑΣ"
05148,253,"ΑΤΤΙΚΗΣ ΧΟΛΑΡΓΟΥ"
28090,17,"ΚΟΡΙΝΘΙΑΣ ΠΕΡΙΓΙΑΛΙΟΥ"
02012,22,"ΑΡΓΟΛΙΔΑΣ ΑΣΙΝΗΣ"
51013,16,"ΧΙΟΥ ΚΑΜΠΟΧΩΡΩΝ"
05116,1346,"ΑΤΤΙΚΗΣ ΠΕΙΡΑΙΩΣ"
05071,205,"ΑΤΤΙΚΗΣ ΚΟΡΥΔΑΛΛΟΥ"
48009,27,"ΦΩΚΙΔΑΣ ΑΜΦΙΣΣΗΣ"
